"행정구역","2025년06월_남_총인구수","2025년06월_남_연령구간인구수","2025년06월_남_0세","2025년06월_여_총인구수","2025년06월_여_연령구간인구수","2025년06월_여_0세"
"전국  (0000000000)","25,467,115","125,425","125,425","25,697,467","118,789","118,789"
"서울특별시  (1100000000)","4,497,354","21,390","21,390","4,828,262","20,192","20,192"
"부산광역시  (2600000000)","1,582,043","6,940","6,940","1,670,787","6,464","6,464"
"대구광역시  (2700000000)","1,155,353","5,438","5,438","1,201,699","5,168","5,168"
"인천광역시  (2800000000)","1,518,758","8,452","8,452","1,520,692","7,893","7,893"
"광주광역시  (2900000000)","690,429","3,146","3,146","708,653","3,109","3,109"
"대전광역시  (3000000000)","717,456","3,772","3,772","722,308","3,632","3,632"
"울산광역시  (3100000000)","563,241","2,755","2,755","530,424","2,586","2,586"
"세종특별자치시  (3600000000)","195,248","1,436","1,436","196,975","1,459","1,459"
"경기도  (4100000000)","6,888,166","37,970","37,970","6,823,238","36,217","36,217"
"강원특별자치도  (5100000000)","759,478","3,333","3,333","751,137","3,179","3,179"
"충청북도  (4300000000)","810,526","4,123","4,123","780,519","3,791","3,791"
"충청남도  (4400000000)","1,096,214","5,168","5,168","1,039,676","4,865","4,865"
"전북특별자치도  (5200000000)","862,137","3,538","3,538","868,121","3,263","3,263"
"전라남도  (4600000000)","900,655","4,217","4,217","882,829","4,056","4,056"
"경상북도  (4700000000)","1,275,311","5,329","5,329","1,244,163","4,895","4,895"
"경상남도  (4800000000)","1,621,572","6,837","6,837","1,594,533","6,493","6,493"
"제주특별자치도  (5000000000)","333,174","1,581","1,581","333,451","1,527","1,527"
